slug;name;birth_year
Lawrence_Bragg;Lawrence Bragg;1890
Abbas_ibn_Firnas;Abbas ibn Firnas;810
Arnold_Sommerfeld;Arnold Sommerfeld;1868
Abd_al-Rahman_al-Sufi;Abd al-Rahman al-Sufi;903
Anatoly_Dyatlov;Anatoly Dyatlov;1931
Charles_Louis_Alphonse_Laveran;Charles Louis Alphonse Laveran;1845
Willebrord_Snellius;Willebrord Snellius;1580
William_Rowan_Hamilton;William Rowan Hamilton;1805
Otto_Lilienthal;Otto Lilienthal;1848
Rachel_Carson;Rachel Carson;1907
Zhang_Heng;Zhang Heng;78
Edward_Teller;Edward Teller;1908
Henri_Moissan;Henri Moissan;1852
Emil_Kraepelin;Emil Kraepelin;1856
Isaac_Singer;Isaac Singer;1811
Alfred_North_Whitehead;Alfred North Whitehead;1861
Rita_Levi-Montalcini;Rita Levi-Montalcini;1909
Abraham_de_Moivre;Abraham de Moivre;1667
C._V._Raman;C. V. Raman;1888
Claude_Shannon;Claude Shannon;1916
Otto_Wallach;Otto Wallach;1847
Karl_von_Frisch;Karl von Frisch;1886
Samuel_Hahnemann;Samuel Hahnemann;1755
Tu_Youyou;Tu Youyou;1930
Dennis_Gabor;Dennis Gabor;1900
Hermann_Minkowski;Hermann Minkowski;1864
László_Bíró;László Bíró;1899
James_Franck;James Franck;1882
Urbain_Le_Verrier;Urbain Le Verrier;1811
August_Ferdinand_Möbius;August Ferdinand Möbius;1790
Elon_Musk;Elon Musk;1971
Richard_Trevithick;Richard Trevithick;1771
Friedrich_Bessel;Friedrich Bessel;1784
Émilie_du_Châtelet;Émilie du Châtelet;1706
Yoshinori_Ohsumi;Yoshinori Ohsumi;1945
André_Citroën;André Citroën;1878
Arthur_Compton;Arthur Compton;1892
Otto_Heinrich_Warburg;Otto Heinrich Warburg;1883
Aage_Bohr;Aage Bohr;1922
Avempace;Avempace;1080
Dian_Fossey;Dian Fossey;1932
G._H._Hardy;G. H. Hardy;1877
Ilya_Prigogine;Ilya Prigogine;1917
Carl_David_Anderson;Carl David Anderson;1905
Hua_Tuo;Hua Tuo;200
Ambroise_Paré;Ambroise Paré;1510
Gaspard_Monge;Gaspard Monge;1746
Peter_Debye;Peter Debye;1884
